Query,Tweet_count,Username,Text,Created At,Retweets,Likes,Tokenized text,Lemmatized text,label
sports,16,ChiTownSports Fan,powerssean0916 nfldraft movethesticks its also their biggest need tackles werent the issue and banks jr is a risk high upside but also high risk due to inconsistent technique did the cowboys regret taking zach martin top 10 how about the colts with nelsoni could see them trading back to the teens for him though,Sat Jan 25 14:36:00 +0000 2025,0,0,"['powerssean0916', 'nfldraft', 'movethesticks', 'its', 'also', 'their', 'biggest', 'need', 'tackles', 'werent', 'the', 'issue', 'and', 'banks', 'jr', 'is', 'a', 'risk', 'high', 'upside', 'but', 'also', 'high', 'risk', 'due', 'to', 'inconsistent', 'technique', 'did', 'the', 'cowboys', 'regret', 'taking', 'zach', 'martin', 'top', '10', 'how', 'about', 'the', 'colts', 'with', 'nelsoni', 'could', 'see', 'them', 'trading', 'back', 'to', 'the', 'teens', 'for', 'him', 'though']","['powerssean0916', 'nfldraft', 'movethestick', 'its', 'also', 'their', 'big', 'need', 'tackle', 'be', 'not', 'the', 'issue', 'and', 'bank', 'jr', 'be', 'a', 'risk', 'high', 'upside', 'but', 'also', 'high', 'risk', 'due', 'to', 'inconsistent', 'technique', 'do', 'the', 'cowboy', 'regret', 'take', 'zach', 'martin', 'top', '10', 'how', 'about', 'the', 'colt', 'with', 'nelsoni', 'could', 'see', 'they', 'trade', 'back', 'to', 'the', 'teen', 'for', 'he', 'though']",negative
global economy,56,David Proulx,lets aim to reach 90 of canadians together we can highlight all the advantages of becoming americanstronger economy global influence and better opportunities for all,Sat Jan 25 13:36:03 +0000 2025,0,0,"['lets', 'aim', 'to', 'reach', '90', 'of', 'canadians', 'together', 'we', 'can', 'highlight', 'all', 'the', 'advantages', 'of', 'becoming', 'americanstronger', 'economy', 'global', 'influence', 'and', 'better', 'opportunities', 'for', 'all']","['let', 'aim', 'to', 'reach', '90', 'of', 'canadian', 'together', 'we', 'can', 'highlight', 'all', 'the', 'advantage', 'of', 'become', 'americanstronger', 'economy', 'global', 'influence', 'and', 'well', 'opportunity', 'for', 'all']",positive
climate change,64,Sophia Plum,unicef i couldnt agree more climate change requires collective action and a commitment to sustainability lets work together to protect our planets future,Sat Jan 25 14:15:47 +0000 2025,0,0,"['unicef', 'i', 'couldnt', 'agree', 'more', 'climate', 'change', 'requires', 'collective', 'action', 'and', 'a', 'commitment', 'to', 'sustainability', 'lets', 'work', 'together', 'to', 'protect', 'our', 'planets', 'future']","['unicef', 'I', 'could', 'not', 'agree', 'more', 'climate', 'change', 'require', 'collective', 'action', 'and', 'a', 'commitment', 'to', 'sustainability', 'let', 'work', 'together', 'to', 'protect', 'our', 'planet', 'future']",positive
artificial intelligence,81,Ifrah💕,"together these efforts represent a monumental leap forward for global ai adoption

 what is the stargate initiative
the stargate initiative is a bold move to cement the united states as a leader in artificial intelligence",Sat Jan 25 13:45:20 +0000 2025,0,0,"['together', 'these', 'efforts', 'represent', 'a', 'monumental', 'leap', 'forward', 'for', 'global', 'ai', 'adoption', 'what', 'is', 'the', 'stargate', 'initiative', 'the', 'stargate', 'initiative', 'is', 'a', 'bold', 'move', 'to', 'cement', 'the', 'united', 'states', 'as', 'a', 'leader', 'in', 'artificial', 'intelligence']","['together', 'these', 'effort', 'represent', 'a', 'monumental', 'leap', 'forward', 'for', 'global', 'ai', 'adoption', 'what', 'be', 'the', 'stargate', 'initiative', 'the', 'stargate', 'initiative', 'be', 'a', 'bold', 'move', 'to', 'cement', 'the', 'united', 'states', 'as', 'a', 'leader', 'in', 'artificial', 'intelligence']",positive
artificial intelligence,29,Artificial Intelligence,propvstruth a fat child killer pig,Sat Jan 25 14:04:43 +0000 2025,0,0,"['propvstruth', 'a', 'fat', 'child', 'killer', 'pig']","['propvstruth', 'a', 'fat', 'child', 'killer', 'pig']",negative
global economy,90,Robert M. Dewey,"pmarca i actually wrote about what this might mean for the global economy yesterday
 ",Sat Jan 25 13:09:25 +0000 2025,0,0,"['pmarca', 'i', 'actually', 'wrote', 'about', 'what', 'this', 'might', 'mean', 'for', 'the', 'global', 'economy', 'yesterday']","['pmarca', 'I', 'actually', 'write', 'about', 'what', 'this', 'might', 'mean', 'for', 'the', 'global', 'economy', 'yesterday']",neutral
electric vehicles,63,VJ,given this analysis evs electric vehicles appear to have the strongest case as the future of transportation due to their environmental benefits government support and the ongoing global shift towards electrification,Sat Jan 25 12:04:09 +0000 2025,0,0,"['given', 'this', 'analysis', 'evs', 'electric', 'vehicles', 'appear', 'to', 'have', 'the', 'strongest', 'case', 'as', 'the', 'future', 'of', 'transportation', 'due', 'to', 'their', 'environmental', 'benefits', 'government', 'support', 'and', 'the', 'ongoing', 'global', 'shift', 'towards', 'electrification']","['give', 'this', 'analysis', 'evs', 'electric', 'vehicle', 'appear', 'to', 'have', 'the', 'strong', 'case', 'as', 'the', 'future', 'of', 'transportation', 'due', 'to', 'their', 'environmental', 'benefit', 'government', 'support', 'and', 'the', 'ongoing', 'global', 'shift', 'towards', 'electrification']",positive
healthcare,54,First Amendment Me,starecki maggiemelo93292 stevelikescards ztisdale blankets are handed out freely in most ers in the us sounds odd that they charged her it should be challenged us healthcare is better imo,Sat Jan 25 14:34:22 +0000 2025,0,0,"['starecki', 'maggiemelo93292', 'stevelikescards', 'ztisdale', 'blankets', 'are', 'handed', 'out', 'freely', 'in', 'most', 'ers', 'in', 'the', 'us', 'sounds', 'odd', 'that', 'they', 'charged', 'her', 'it', 'should', 'be', 'challenged', 'us', 'healthcare', 'is', 'better', 'imo']","['starecki', 'maggiemelo93292', 'stevelikescard', 'ztisdale', 'blanket', 'be', 'hand', 'out', 'freely', 'in', 'most', 'er', 'in', 'the', 'us', 'sound', 'odd', 'that', 'they', 'charge', 'she', 'it', 'should', 'be', 'challenge', 'we', 'healthcare', 'be', 'well', 'imo']",neutral
global economy,19,ChatDKG.ai,allstarrunner rbreich applications  it empowers individuals with greater control over their assets and enables borderless transactions fostering a more connected global economy  its important to engage with this technology responsibly and with awareness of the risks,Sat Jan 25 14:11:57 +0000 2025,0,1,"['allstarrunner', 'rbreich', 'applications', 'it', 'empowers', 'individuals', 'with', 'greater', 'control', 'over', 'their', 'assets', 'and', 'enables', 'borderless', 'transactions', 'fostering', 'a', 'more', 'connected', 'global', 'economy', 'its', 'important', 'to', 'engage', 'with', 'this', 'technology', 'responsibly', 'and', 'with', 'awareness', 'of', 'the', 'risks']","['allstarrunner', 'rbreich', 'application', 'it', 'empower', 'individual', 'with', 'great', 'control', 'over', 'their', 'asset', 'and', 'enable', 'borderless', 'transaction', 'foster', 'a', 'more', 'connected', 'global', 'economy', 'its', 'important', 'to', 'engage', 'with', 'this', 'technology', 'responsibly', 'and', 'with', 'awareness', 'of', 'the', 'risk']",positive
space exploration,48,𝗚ʟ𝗔ᴅ𝗜ᴀ𝗧ᴏ𝗥 🤺,ichiemillion this series is an intense exploration of the human will to survive,Sat Jan 25 12:44:49 +0000 2025,0,0,"['ichiemillion', 'this', 'series', 'is', 'an', 'intense', 'exploration', 'of', 'the', 'human', 'will', 'to', 'survive']","['ichiemillion', 'this', 'series', 'be', 'an', 'intense', 'exploration', 'of', 'the', 'human', 'will', 'to', 'survive']",neutral
elon musk,85,Fabfesty Elon Musk First Son,thefishmagnate policeng yelesowore nigeria police should seize operations and the ig must caution thembecause lately we have been hearing series of report causing the policenot really a good thing the police suppose to be a problem solver and a protectornot adding pain and injury to the derail individuals,Sat Jan 25 14:13:17 +0000 2025,0,0,"['thefishmagnate', 'policeng', 'yelesowore', 'nigeria', 'police', 'should', 'seize', 'operations', 'and', 'the', 'ig', 'must', 'caution', 'thembecause', 'lately', 'we', 'have', 'been', 'hearing', 'series', 'of', 'report', 'causing', 'the', 'policenot', 'really', 'a', 'good', 'thing', 'the', 'police', 'suppose', 'to', 'be', 'a', 'problem', 'solver', 'and', 'a', 'protectornot', 'adding', 'pain', 'and', 'injury', 'to', 'the', 'derail', 'individuals']","['thefishmagnate', 'policeng', 'yelesowore', 'nigeria', 'police', 'should', 'seize', 'operation', 'and', 'the', 'ig', 'must', 'caution', 'thembecause', 'lately', 'we', 'have', 'be', 'hear', 'series', 'of', 'report', 'cause', 'the', 'policenot', 'really', 'a', 'good', 'thing', 'the', 'police', 'suppose', 'to', 'be', 'a', 'problem', 'solver', 'and', 'a', 'protectornot', 'add', 'pain', 'and', 'injury', 'to', 'the', 'derail', 'individual']",negative
global economy,5,Stewy,shaney1982 justpattrick i seriously doubt that denmark is in a position to protect the global economy,Sat Jan 25 14:19:40 +0000 2025,0,0,"['shaney1982', 'justpattrick', 'i', 'seriously', 'doubt', 'that', 'denmark', 'is', 'in', 'a', 'position', 'to', 'protect', 'the', 'global', 'economy']","['shaney1982', 'justpattrick', 'I', 'seriously', 'doubt', 'that', 'denmark', 'be', 'in', 'a', 'position', 'to', 'protect', 'the', 'global', 'economy']",positive
global economy,47,Lucinda Grainne,crypto is breaking down barriers to financial access providing opportunities for people around the world to participate in the global economy,Sat Jan 25 13:43:29 +0000 2025,0,0,"['crypto', 'is', 'breaking', 'down', 'barriers', 'to', 'financial', 'access', 'providing', 'opportunities', 'for', 'people', 'around', 'the', 'world', 'to', 'participate', 'in', 'the', 'global', 'economy']","['crypto', 'be', 'break', 'down', 'barrier', 'to', 'financial', 'access', 'provide', 'opportunity', 'for', 'people', 'around', 'the', 'world', 'to', 'participate', 'in', 'the', 'global', 'economy']",positive
bitcoin,24,Bitcoin Fantasy,australianopen close match,Sat Jan 25 14:23:44 +0000 2025,0,0,"['australianopen', 'close', 'match']","['australianopen', 'close', 'match']",neutral
climate change,3,DI,harparr1 shes leaving the countryand the wildfires were set and had nothing to do with climate change,Sat Jan 25 14:22:13 +0000 2025,0,0,"['harparr1', 'shes', 'leaving', 'the', 'countryand', 'the', 'wildfires', 'were', 'set', 'and', 'had', 'nothing', 'to', 'do', 'with', 'climate', 'change']","['harparr1', 'she', 's', 'leave', 'the', 'countryand', 'the', 'wildfire', 'be', 'set', 'and', 'have', 'nothing', 'to', 'do', 'with', 'climate', 'change']",negative
sports,31,Sports,"royalsweekly man the longer we move away from dayton the worse he and his team looks
clearly the game passed him by",Sat Jan 25 14:35:45 +0000 2025,0,0,"['royalsweekly', 'man', 'the', 'longer', 'we', 'move', 'away', 'from', 'dayton', 'the', 'worse', 'he', 'and', 'his', 'team', 'looks', 'clearly', 'the', 'game', 'passed', 'him', 'by']","['royalsweekly', 'man', 'the', 'long', 'we', 'move', 'away', 'from', 'dayton', 'the', 'bad', 'he', 'and', 'his', 'team', 'look', 'clearly', 'the', 'game', 'pass', 'he', 'by']",negative
sports,86,David Harrison,having a rifle through a box of things ive collected on my travels quite an eclectic mix of footballsports stash in there  some of my top picks are the dinamo tbilisi tote a pakhtakor tashkent shirt a tajikistan olympics team tracksuit amp a 90s grasshopper zurich hat ,Sat Jan 25 14:35:01 +0000 2025,0,0,"['having', 'a', 'rifle', 'through', 'a', 'box', 'of', 'things', 'ive', 'collected', 'on', 'my', 'travels', 'quite', 'an', 'eclectic', 'mix', 'of', 'footballsports', 'stash', 'in', 'there', 'some', 'of', 'my', 'top', 'picks', 'are', 'the', 'dinamo', 'tbilisi', 'tote', 'a', 'pakhtakor', 'tashkent', 'shirt', 'a', 'tajikistan', 'olympics', 'team', 'tracksuit', 'amp', 'a', '90s', 'grasshopper', 'zurich', 'hat']","['have', 'a', 'rifle', 'through', 'a', 'box', 'of', 'thing', 'I', 've', 'collect', 'on', 'my', 'travel', 'quite', 'an', 'eclectic', 'mix', 'of', 'footballsport', 'stash', 'in', 'there', 'some', 'of', 'my', 'top', 'pick', 'be', 'the', 'dinamo', 'tbilisi', 'tote', 'a', 'pakhtakor', 'tashkent', 'shirt', 'a', 'tajikistan', 'olympics', 'team', 'tracksuit', 'amp', 'a', '90', 'grasshopper', 'zurich', 'hat']",neutral
electric vehicles,68,Rambabu Solanki,"hpcl a driving electric vehicles

hpcl ecodriving",Sat Jan 25 11:53:16 +0000 2025,0,0,"['hpcl', 'a', 'driving', 'electric', 'vehicles', 'hpcl', 'ecodriving']","['hpcl', 'a', 'drive', 'electric', 'vehicle', 'hpcl', 'ecodrive']",neutral
bitcoin,57,BITCOIN TRUMP ARMY,babytrumpxyz please follow me back   lets pump your projct   send me dm ,Sat Jan 25 14:23:17 +0000 2025,0,0,"['babytrumpxyz', 'please', 'follow', 'me', 'back', 'lets', 'pump', 'your', 'projct', 'send', 'me', 'dm']","['babytrumpxyz', 'please', 'follow', 'I', 'back', 'let', 'pump', 'your', 'projct', 'send', 'I', 'dm']",neutral
elon musk,92,JanioOficial3,pmarca i assume that you elon musk only have eyes for your other companies and left x aside and i assume that advertisers also dont want to advertise in x anymore since it was left for the last plan what percentage of the capitalist elety buys the advertised products i think,Sat Jan 25 14:13:11 +0000 2025,0,0,"['pmarca', 'i', 'assume', 'that', 'you', 'elon', 'musk', 'only', 'have', 'eyes', 'for', 'your', 'other', 'companies', 'and', 'left', 'x', 'aside', 'and', 'i', 'assume', 'that', 'advertisers', 'also', 'dont', 'want', 'to', 'advertise', 'in', 'x', 'anymore', 'since', 'it', 'was', 'left', 'for', 'the', 'last', 'plan', 'what', 'percentage', 'of', 'the', 'capitalist', 'elety', 'buys', 'the', 'advertised', 'products', 'i', 'think']","['pmarca', 'I', 'assume', 'that', 'you', 'elon', 'musk', 'only', 'have', 'eye', 'for', 'your', 'other', 'company', 'and', 'leave', 'x', 'aside', 'and', 'I', 'assume', 'that', 'advertiser', 'also', 'do', 'not', 'want', 'to', 'advertise', 'in', 'x', 'anymore', 'since', 'it', 'be', 'leave', 'for', 'the', 'last', 'plan', 'what', 'percentage', 'of', 'the', 'capitalist', 'elety', 'buy', 'the', 'advertised', 'product', 'I', 'think']",neutral
elon musk,73,Omotolani Sulu,elonmuskode elon musk of course,Sat Jan 25 14:13:31 +0000 2025,0,0,"['elonmuskode', 'elon', 'musk', 'of', 'course']","['elonmuskode', 'elon', 'musk', 'of', 'course']",neutral
healthcare,21,Whidbey_Traveler,joosyjew im worried about gazans healthcare since all the doctors were surrounding the hostages today,Sat Jan 25 14:36:15 +0000 2025,0,0,"['joosyjew', 'im', 'worried', 'about', 'gazans', 'healthcare', 'since', 'all', 'the', 'doctors', 'were', 'surrounding', 'the', 'hostages', 'today']","['joosyjew', 'i', 'm', 'worried', 'about', 'gazan', 'healthcare', 'since', 'all', 'the', 'doctor', 'be', 'surround', 'the', 'hostage', 'today']",negative
climate change,69,James Pardue,scientists use gis technology to guide the south bay salt pond restoration project a 50year initiative aimed at transforming 15100 acres of industrial salt ponds back to tidal marshes to enhance biodiversity and combat climate change  ,Sat Jan 25 14:15:11 +0000 2025,0,0,"['scientists', 'use', 'gis', 'technology', 'to', 'guide', 'the', 'south', 'bay', 'salt', 'pond', 'restoration', 'project', 'a', '50year', 'initiative', 'aimed', 'at', 'transforming', '15100', 'acres', 'of', 'industrial', 'salt', 'ponds', 'back', 'to', 'tidal', 'marshes', 'to', 'enhance', 'biodiversity', 'and', 'combat', 'climate', 'change']","['scientist', 'use', 'gis', 'technology', 'to', 'guide', 'the', 'south', 'bay', 'salt', 'pond', 'restoration', 'project', 'a', '50year', 'initiative', 'aim', 'at', 'transform', '15100', 'acre', 'of', 'industrial', 'salt', 'pond', 'back', 'to', 'tidal', 'marsh', 'to', 'enhance', 'biodiversity', 'and', 'combat', 'climate', 'change']",neutral
space exploration,67,Alan Taylor-Shearer,"bloodylikeabody elon musk is a complex figure and opinions on whether he is a good person vary widely based on different perspectives and criteria

 innovation and business supporters point to his contributions to technology and space exploration through companies like spacex and",Sat Jan 25 12:08:50 +0000 2025,0,0,"['bloodylikeabody', 'elon', 'musk', 'is', 'a', 'complex', 'figure', 'and', 'opinions', 'on', 'whether', 'he', 'is', 'a', 'good', 'person', 'vary', 'widely', 'based', 'on', 'different', 'perspectives', 'and', 'criteria', 'innovation', 'and', 'business', 'supporters', 'point', 'to', 'his', 'contributions', 'to', 'technology', 'and', 'space', 'exploration', 'through', 'companies', 'like', 'spacex', 'and']","['bloodylikeabody', 'elon', 'musk', 'be', 'a', 'complex', 'figure', 'and', 'opinion', 'on', 'whether', 'he', 'be', 'a', 'good', 'person', 'vary', 'widely', 'base', 'on', 'different', 'perspective', 'and', 'criterion', 'innovation', 'and', 'business', 'supporter', 'point', 'to', 'his', 'contribution', 'to', 'technology', 'and', 'space', 'exploration', 'through', 'company', 'like', 'spacex', 'and']",neutral
global economy,29,Maryan,the berbera port is a national asset far too significant for anyone to claim as their own it stands as a cornerstone of somalilands economy facilitating trade fostering regional connectivity and serving as a gateway to global markets somaliland ,Sat Jan 25 13:57:50 +0000 2025,0,3,"['the', 'berbera', 'port', 'is', 'a', 'national', 'asset', 'far', 'too', 'significant', 'for', 'anyone', 'to', 'claim', 'as', 'their', 'own', 'it', 'stands', 'as', 'a', 'cornerstone', 'of', 'somalilands', 'economy', 'facilitating', 'trade', 'fostering', 'regional', 'connectivity', 'and', 'serving', 'as', 'a', 'gateway', 'to', 'global', 'markets', 'somaliland']","['the', 'berbera', 'port', 'be', 'a', 'national', 'asset', 'far', 'too', 'significant', 'for', 'anyone', 'to', 'claim', 'as', 'their', 'own', 'it', 'stand', 'as', 'a', 'cornerstone', 'of', 'somalilands', 'economy', 'facilitate', 'trade', 'foster', 'regional', 'connectivity', 'and', 'serve', 'as', 'a', 'gateway', 'to', 'global', 'market', 'somaliland']",positive
healthcare,12,Barock Fella,wobblegb rasmusjarlov cons shitty access to healthcare school shootings gun violence meals required for hungry schoolchildren reduced life expectancy,Sat Jan 25 14:36:33 +0000 2025,0,0,"['wobblegb', 'rasmusjarlov', 'cons', 'shitty', 'access', 'to', 'healthcare', 'school', 'shootings', 'gun', 'violence', 'meals', 'required', 'for', 'hungry', 'schoolchildren', 'reduced', 'life', 'expectancy']","['wobblegb', 'rasmusjarlov', 'con', 'shitty', 'access', 'to', 'healthcare', 'school', 'shooting', 'gun', 'violence', 'meal', 'require', 'for', 'hungry', 'schoolchildren', 'reduce', 'life', 'expectancy']",negative
electric vehicles,96,ill,"chinas adm group will invest 250 million to establish an electric vehicle ev manufacturing plant in pakistan as part of the countrys push towards a greener future

this initiative supports pakistans national electric vehicles policy nevp aiming for 30 ev sales by 2030 ",Sat Jan 25 10:34:23 +0000 2025,0,1,"['chinas', 'adm', 'group', 'will', 'invest', '250', 'million', 'to', 'establish', 'an', 'electric', 'vehicle', 'ev', 'manufacturing', 'plant', 'in', 'pakistan', 'as', 'part', 'of', 'the', 'countrys', 'push', 'towards', 'a', 'greener', 'future', 'this', 'initiative', 'supports', 'pakistans', 'national', 'electric', 'vehicles', 'policy', 'nevp', 'aiming', 'for', '30', 'ev', 'sales', 'by', '2030']","['chinas', 'adm', 'group', 'will', 'invest', '250', 'million', 'to', 'establish', 'an', 'electric', 'vehicle', 'ev', 'manufacturing', 'plant', 'in', 'pakistan', 'as', 'part', 'of', 'the', 'country', 'push', 'towards', 'a', 'greener', 'future', 'this', 'initiative', 'support', 'pakistans', 'national', 'electric', 'vehicle', 'policy', 'nevp', 'aim', 'for', '30', 'ev', 'sale', 'by', '2030']",positive
artificial intelligence,70,"M, Josiah Anderson","the stargateproject is
a largescale artificial intelligence ai infrastructure
initiative announced by president trump
on january 21 2025
  the project is a joint venture betwixt openai
softbank oracle and mgx with the goal of investing
up to 500 billion",Sat Jan 25 13:49:48 +0000 2025,0,1,"['the', 'stargateproject', 'is', 'a', 'largescale', 'artificial', 'intelligence', 'ai', 'infrastructure', 'initiative', 'announced', 'by', 'president', 'trump', 'on', 'january', '21', '2025', 'the', 'project', 'is', 'a', 'joint', 'venture', 'betwixt', 'openai', 'softbank', 'oracle', 'and', 'mgx', 'with', 'the', 'goal', 'of', 'investing', 'up', 'to', '500', 'billion']","['the', 'stargateproject', 'be', 'a', 'largescale', 'artificial', 'intelligence', 'ai', 'infrastructure', 'initiative', 'announce', 'by', 'president', 'trump', 'on', 'january', '21', '2025', 'the', 'project', 'be', 'a', 'joint', 'venture', 'betwixt', 'openai', 'softbank', 'oracle', 'and', 'mgx', 'with', 'the', 'goal', 'of', 'investing', 'up', 'to', '500', 'billion']",neutral
healthcare,68,Mel C. Thompson,adsak32 franklinleonard noquarter4libs because no single country has the money to be the universal healthcare provider and the universal military guardian for the whole earth and yes i do have a couple of conservative friends who do believe in universal medicare and medicaid but with healthy borders around it,Sat Jan 25 14:33:46 +0000 2025,0,0,"['adsak32', 'franklinleonard', 'noquarter4libs', 'because', 'no', 'single', 'country', 'has', 'the', 'money', 'to', 'be', 'the', 'universal', 'healthcare', 'provider', 'and', 'the', 'universal', 'military', 'guardian', 'for', 'the', 'whole', 'earth', 'and', 'yes', 'i', 'do', 'have', 'a', 'couple', 'of', 'conservative', 'friends', 'who', 'do', 'believe', 'in', 'universal', 'medicare', 'and', 'medicaid', 'but', 'with', 'healthy', 'borders', 'around', 'it']","['adsak32', 'franklinleonard', 'noquarter4libs', 'because', 'no', 'single', 'country', 'have', 'the', 'money', 'to', 'be', 'the', 'universal', 'healthcare', 'provider', 'and', 'the', 'universal', 'military', 'guardian', 'for', 'the', 'whole', 'earth', 'and', 'yes', 'I', 'do', 'have', 'a', 'couple', 'of', 'conservative', 'friend', 'who', 'do', 'believe', 'in', 'universal', 'medicare', 'and', 'medicaid', 'but', 'with', 'healthy', 'border', 'around', 'it']",neutral
electric vehicles,81,Seek,brokensophie89 more than indifferent towards elon because he has really done an amazing job with x but not a huge fan of electric vehicles,Sat Jan 25 11:21:07 +0000 2025,0,0,"['brokensophie89', 'more', 'than', 'indifferent', 'towards', 'elon', 'because', 'he', 'has', 'really', 'done', 'an', 'amazing', 'job', 'with', 'x', 'but', 'not', 'a', 'huge', 'fan', 'of', 'electric', 'vehicles']","['brokensophie89', 'more', 'than', 'indifferent', 'towards', 'elon', 'because', 'he', 'have', 'really', 'do', 'an', 'amazing', 'job', 'with', 'x', 'but', 'not', 'a', 'huge', 'fan', 'of', 'electric', 'vehicle']",neutral
global economy,7,Punny Business,"kenyas strong and diverse economy continues to grow even amid challenging global financial conditions

progressyoucansee
kenya declared positive ",Sat Jan 25 14:18:22 +0000 2025,0,0,"['kenyas', 'strong', 'and', 'diverse', 'economy', 'continues', 'to', 'grow', 'even', 'amid', 'challenging', 'global', 'financial', 'conditions', 'progressyoucansee', 'kenya', 'declared', 'positive']","['kenyas', 'strong', 'and', 'diverse', 'economy', 'continue', 'to', 'grow', 'even', 'amid', 'challenge', 'global', 'financial', 'condition', 'progressyoucansee', 'kenya', 'declare', 'positive']",positive
elon musk,70,"Donna, @land-girl.bsky.social #FBPE#50s WOMEN","from a nazi salute to promoting germanys farright afd leader elon musk is exporting his extremist agenda around the world

heres something we can do about it  ",Sat Jan 25 14:13:40 +0000 2025,0,0,"['from', 'a', 'nazi', 'salute', 'to', 'promoting', 'germanys', 'farright', 'afd', 'leader', 'elon', 'musk', 'is', 'exporting', 'his', 'extremist', 'agenda', 'around', 'the', 'world', 'heres', 'something', 'we', 'can', 'do', 'about', 'it']","['from', 'a', 'nazi', 'salute', 'to', 'promote', 'germanys', 'farright', 'afd', 'leader', 'elon', 'musk', 'be', 'export', 'his', 'extremist', 'agenda', 'around', 'the', 'world', 'here', 'something', 'we', 'can', 'do', 'about', 'it']",neutral
healthcare,88,☂️The Pragmatic Party 🦬 🌎⌛♻🐳🦉🐸🐝🌞🦅🌳⚖ ©,"billmaher the pragmatic party   voting bloc
ubiend poverty
recycle100jobsampno dumps
habitatprotectionamprestoration
solarhydrogenendless fuel
industry protocolno censorship or gmos
healthcare amp educationcost based on income
vote amp consume responsibly
the only solution pic",Sat Jan 25 14:32:42 +0000 2025,0,1,"['billmaher', 'the', 'pragmatic', 'party', 'voting', 'bloc', 'ubiend', 'poverty', 'recycle100jobsampno', 'dumps', 'habitatprotectionamprestoration', 'solarhydrogenendless', 'fuel', 'industry', 'protocolno', 'censorship', 'or', 'gmos', 'healthcare', 'amp', 'educationcost', 'based', 'on', 'income', 'vote', 'amp', 'consume', 'responsibly', 'the', 'only', 'solution', 'pic']","['billmaher', 'the', 'pragmatic', 'party', 'voting', 'bloc', 'ubiend', 'poverty', 'recycle100jobsampno', 'dump', 'habitatprotectionamprestoration', 'solarhydrogenendless', 'fuel', 'industry', 'protocolno', 'censorship', 'or', 'gmos', 'healthcare', 'amp', 'educationcost', 'base', 'on', 'income', 'vote', 'amp', 'consume', 'responsibly', 'the', 'only', 'solution', 'pic']",neutral
global economy,67,BTC_Chopsticks,"focus on dollar stablecoins
 strong support for usdbacked stablecoins  usdc  usdt
 goal maintain the dollars dominance in global trade
 boosts legitimate stablecoin growth while ensuring the dollar leads in the digital economy",Sat Jan 25 13:29:57 +0000 2025,0,0,"['focus', 'on', 'dollar', 'stablecoins', 'strong', 'support', 'for', 'usdbacked', 'stablecoins', 'usdc', 'usdt', 'goal', 'maintain', 'the', 'dollars', 'dominance', 'in', 'global', 'trade', 'boosts', 'legitimate', 'stablecoin', 'growth', 'while', 'ensuring', 'the', 'dollar', 'leads', 'in', 'the', 'digital', 'economy']","['focus', 'on', 'dollar', 'stablecoin', 'strong', 'support', 'for', 'usdbacked', 'stablecoin', 'usdc', 'usdt', 'goal', 'maintain', 'the', 'dollar', 'dominance', 'in', 'global', 'trade', 'boost', 'legitimate', 'stablecoin', 'growth', 'while', 'ensure', 'the', 'dollar', 'lead', 'in', 'the', 'digital', 'economy']",positive
elon musk,88,Robert Cimino ™️ of the Alliance,all the conspiracy theories have come true and often times much worse than we expected  elon musk,Sat Jan 25 14:13:14 +0000 2025,0,1,"['all', 'the', 'conspiracy', 'theories', 'have', 'come', 'true', 'and', 'often', 'times', 'much', 'worse', 'than', 'we', 'expected', 'elon', 'musk']","['all', 'the', 'conspiracy', 'theory', 'have', 'come', 'true', 'and', 'often', 'time', 'much', 'bad', 'than', 'we', 'expect', 'elon', 'musk']",negative
climate change,86,NightOwl22,elonmusk the massive increase in the worlds population  especially in wealthy countries over the last 100 years is one of the main causes of climate change and species extinction that is the real population apocalypse,Sat Jan 25 14:12:44 +0000 2025,0,1,"['elonmusk', 'the', 'massive', 'increase', 'in', 'the', 'worlds', 'population', 'especially', 'in', 'wealthy', 'countries', 'over', 'the', 'last', '100', 'years', 'is', 'one', 'of', 'the', 'main', 'causes', 'of', 'climate', 'change', 'and', 'species', 'extinction', 'that', 'is', 'the', 'real', 'population', 'apocalypse']","['elonmusk', 'the', 'massive', 'increase', 'in', 'the', 'world', 'population', 'especially', 'in', 'wealthy', 'country', 'over', 'the', 'last', '100', 'year', 'be', 'one', 'of', 'the', 'main', 'cause', 'of', 'climate', 'change', 'and', 'specie', 'extinction', 'that', 'be', 'the', 'real', 'population', 'apocalypse']",neutral
healthcare,28,Will,"yallqunt she ran on 
 genocide
 continuing our broken healthcare system
 conceding to republicans on every possible issue",Sat Jan 25 14:35:44 +0000 2025,0,0,"['yallqunt', 'she', 'ran', 'on', 'genocide', 'continuing', 'our', 'broken', 'healthcare', 'system', 'conceding', 'to', 'republicans', 'on', 'every', 'possible', 'issue']","['yallqunt', 'she', 'run', 'on', 'genocide', 'continue', 'our', 'break', 'healthcare', 'system', 'concede', 'to', 'republican', 'on', 'every', 'possible', 'issue']",negative
